f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
45,11,98,37,54,61,95,93,55,14,1
38,18,4,13,18,71,33,13,61,67,0
29,13,79,41,6,23,77,92,68,26,0
82,13,38,21,85,60,11,93,0,81,1
39,22,85,96,57,47,19,54,23,13,1
37,30,49,42,85,27,53,47,23,97,1
38,16,98,27,77,33,16,15,75,59,1
62,21,24,95,78,14,92,76,27,57,0
72,90,14,67,61,38,79,59,34,23,1
39,85,33,95,5,93,4,83,93,52,0
52,41,14,48,92,93,58,88,94,86,1
85,46,62,2,83,87,92,74,28,43,0
90,12,20,36,41,54,87,5,51,43,1
40,63,31,81,81,13,94,3,13,5,0
34,86,51,9,48,45,20,21,57,97,1
65,77,60,67,98,67,47,15,34,74,0
30,51,16,25,3,49,40,37,1,56,0
36,81,15,58,10,58,22,74,91,12,1
94,64,2,94,55,76,69,83,39,73,0
80,26,37,51,24,91,26,89,22,0,1
18,29,56,50,93,92,17,84,62,12,1
14,38,43,53,28,36,64,21,2,11,1
22,72,32,20,71,81,42,67,93,21,0
50,25,73,69,9,28,35,96,94,20,1
73,56,71,23,49,21,35,15,85,64,1
14,89,12,96,96,32,59,62,77,59,0
4,27,69,87,66,96,32,90,77,62,0
1,80,36,13,2,6,52,79,10,55,1
88,91,13,0,17,38,67,14,60,68,0
8,13,82,74,76,16,47,47,40,33,0
23,60,92,37,54,1,46,55,36,67,1
51,31,1,55,69,41,57,1,46,55,1
65,15,47,95,43,75,1,47,4,98,0
62,91,29,90,60,96,92,56,63,7,1
79,90,47,66,19,89,77,38,9,92,0
82,43,93,46,94,40,15,3,57,92,0
1,82,77,47,58,52,0,58,79,1,1
60,1,55,84,60,9,83,67,94,60,0
9,69,86,3,0,44,9,89,24,1,0
78,73,39,79,69,76,3,4,6,67,1
43,47,14,77,10,84,40,78,17,83,1
61,91,12,28,21,95,41,50,31,24,1
8,28,88,93,44,9,43,71,33,89,0
9,0,78,46,51,77,96,50,46,12,1
88,52,41,62,44,82,91,0,51,55,0
4,43,71,53,69,67,10,36,44,13,1
76,66,41,49,75,96,32,84,70,48,1
94,56,50,66,76,66,13,13,84,71,1
56,3,28,59,63,85,29,29,2,20,1
30,7,61,65,67,35,42,20,29,59,0
61,15,39,99,29,57,14,43,95,74,1
61,8,85,79,62,76,14,64,31,33,1
91,96,62,82,30,25,86,34,77,74,0
95,15,29,60,10,89,20,76,70,36,1
40,72,10,37,70,56,49,35,45,75,0
53,26,60,46,36,58,41,77,25,16,0
73,71,9,56,93,32,16,83,63,46,0
49,70,76,44,64,47,1,25,35,49,0
54,31,24,69,56,5,13,42,70,79,1
46,14,89,55,80,64,42,78,63,13,0
77,81,78,1,59,52,26,61,6,65,1
12,78,87,78,32,45,20,56,69,21,1
80,8,9,87,19,58,80,0,18,47,1
18,7,52,64,65,32,79,48,12,10,0
26,30,61,42,94,6,7,63,70,25,0
75,5,15,81,47,59,33,85,65,25,1
75,78,69,9,26,47,88,70,14,41,1
73,11,61,51,96,52,97,76,95,36,1
34,21,18,6,98,50,14,60,66,75,0
16,18,95,53,87,18,6,98,44,11,0
8,46,63,55,2,74,19,40,2,31,1
91,14,47,87,55,37,58,36,1,62,1
0,40,94,73,58,74,84,86,91,44,0
38,66,56,24,97,65,52,58,13,93,1
29,55,31,10,32,83,11,98,45,50,0
67,59,60,2,5,61,71,10,18,12,0
3,81,48,51,31,55,73,43,18,37,0
94,28,36,5,46,34,4,96,44,3,1
46,8,76,56,30,85,0,39,2,78,0
75,81,94,63,98,40,82,93,66,14,0
46,76,21,26,23,31,36,97,69,91,1
23,94,77,4,35,60,49,57,75,62,1
17,48,35,21,75,5,47,40,47,8,1
89,31,11,16,9,93,89,18,64,78,1
16,11,32,94,96,22,29,83,16,4,0
51,40,46,75,72,82,57,24,23,91,0
70,10,70,82,73,45,23,40,3,41,1
97,58,3,98,2,48,40,46,2,91,1
51,54,38,79,82,54,31,58,40,5,1
24,63,96,31,34,11,92,58,93,12,0
91,25,47,2,74,76,15,4,57,86,1
42,89,14,53,39,1,27,46,98,73,1
84,93,74,34,68,59,39,46,58,6,0
1,21,98,58,29,97,88,39,61,47,1
