f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
24,95,47,63,26,13,2,74,16,38,0
99,89,72,69,1,96,19,65,92,0,1
54,8,93,73,18,64,92,76,60,48,0
65,98,73,48,41,45,17,14,98,26,1
77,88,62,10,73,57,43,11,93,71,0
20,37,48,94,86,96,17,34,7,93,0
86,12,48,23,14,83,26,42,87,67,1
79,23,62,97,49,19,64,56,29,95,1
47,23,72,37,56,68,42,13,11,39,0
12,28,60,52,26,59,4,16,19,94,0
18,75,1,72,6,94,73,43,5,97,1
44,27,19,99,65,43,97,36,94,77,1
38,52,86,66,82,39,50,97,45,76,0
15,67,46,96,68,82,64,22,42,2,0
20,31,66,32,80,77,11,62,54,91,0
97,29,40,39,87,65,12,18,18,35,1
27,75,93,75,79,47,55,72,98,33,0
75,23,62,51,56,36,62,91,44,1,1
71,91,51,40,48,25,79,15,93,16,0
43,50,8,21,49,47,10,43,10,78,1
23,30,13,50,10,68,63,31,63,25,0
20,24,41,95,17,71,99,52,51,64,0
22,80,63,0,27,96,75,72,80,14,1
4,14,15,17,44,83,36,52,46,42,1
81,47,78,34,49,40,96,76,36,9,1
53,51,39,56,26,2,68,5,80,14,0
40,96,19,83,84,64,60,60,54,65,0
20,63,28,81,66,82,81,80,45,47,1
44,9,79,80,2,37,96,2,89,78,0
43,24,95,21,47,27,70,24,21,29,0
42,67,28,11,84,1,40,88,89,69,1
59,52,61,76,84,51,33,32,10,85,0
78,14,57,13,38,2,78,27,21,78,1
23,21,55,7,34,56,55,22,49,28,0
98,32,62,52,63,83,87,20,5,20,0
7,62,99,67,57,16,6,90,34,76,1
0,75,56,95,55,22,63,78,51,96,1
54,60,1,10,5,96,53,13,42,1,1
59,26,41,35,29,18,44,19,91,56,0
76,54,80,1,17,67,65,75,79,53,0
34,96,14,80,90,42,5,53,65,85,1
91,83,57,89,32,4,25,94,85,89,1
67,6,14,18,14,13,57,14,82,6,1
55,3,72,41,24,73,89,25,56,7,0
54,98,63,26,19,60,49,8,49,58,1
7,55,75,23,0,86,95,83,44,75,0
59,47,66,32,19,99,36,86,21,4,0
11,62,14,13,72,53,62,8,24,83,1
45,69,5,36,27,93,42,81,7,22,0
54,3,56,91,65,87,97,98,9,46,1
49,9,4,55,42,85,95,68,46,16,0
94,18,65,66,71,31,70,75,14,12,1
19,68,18,45,99,4,45,31,57,29,0
98,41,25,66,24,86,80,49,40,63,0
29,65,54,55,2,16,51,74,39,72,0
64,38,74,10,74,92,34,7,48,44,0
9,93,55,49,66,34,35,66,47,61,1
29,66,60,92,93,17,7,9,95,84,0
59,73,84,65,58,4,99,94,84,19,1
72,68,41,4,12,72,52,36,43,6,0
21,55,63,1,86,47,74,55,15,94,1
59,81,22,52,10,5,75,40,1,13,1
45,50,52,89,79,90,80,46,30,90,1
10,56,60,36,12,59,23,63,57,63,0
45,41,66,93,45,17,50,89,39,52,0
5,23,61,40,71,63,56,80,98,4,0
76,32,42,88,7,36,42,71,81,20,1
92,63,65,67,74,49,41,70,40,54,0
76,63,57,71,65,2,73,33,84,86,1
70,83,66,84,45,47,79,3,81,69,0
96,73,52,20,45,44,51,48,57,90,0
25,49,31,35,8,93,67,33,12,9,0
57,24,87,60,13,5,19,11,21,36,0
86,9,95,52,44,43,44,22,37,22,1
26,16,93,7,49,19,21,72,66,3,0
10,40,61,51,43,83,26,46,39,66,0
70,4,9,95,75,36,13,20,64,77,1
68,74,32,16,97,96,39,61,31,83,0
82,32,41,41,37,17,85,3,90,63,0
23,8,75,63,42,5,6,82,67,84,0
0,94,90,54,34,74,96,3,39,78,0
26,49,14,8,95,43,9,88,43,93,1
41,44,46,48,86,43,78,88,44,46,1
7,14,88,63,18,0,3,36,26,85,0
53,1,79,1,42,57,64,84,22,41,0
15,65,14,58,38,60,90,12,35,47,1
76,2,44,66,30,82,75,33,14,8,1
3,8,90,16,20,40,56,42,94,84,0
34,15,50,52,9,19,82,9,62,59,1
99,97,66,99,77,5,25,75,26,67,1
74,67,8,18,35,57,30,49,37,68,1
83,39,98,0,28,21,4,37,79,56,1
91,3,20,39,52,34,20,61,83,98,1
99,36,32,75,53,49,90,73,94,31,0
51,25,53,46,40,1,24,8,47,46,0
81,10,34,77,47,42,86,30,62,25,1
51,8,75,89,40,58,44,26,72,51,1
63,74,77,14,55,37,25,62,48,89,1
68,16,87,0,84,77,24,79,11,55,1
77,4,22,56,86,29,26,7,6,37,1
11,71,3,7,89,43,82,61,61,86,0
50,29,26,23,88,92,25,84,3,9,0
7,45,8,72,11,25,37,53,32,45,1
93,95,80,22,71,17,36,82,9,9,0
4,54,24,75,68,78,98,83,88,63,0
18,66,80,62,79,60,45,18,58,3,0
74,67,56,7,61,79,58,88,81,89,1
5,45,22,43,50,44,42,92,95,48,1
9,10,28,69,72,33,44,7,16,38,1
70,89,71,1,55,12,66,18,94,62,1
71,81,9,27,18,41,1,3,36,64,0
69,77,31,96,66,28,69,77,22,57,0
76,26,17,39,31,14,99,98,57,59,1
56,69,42,16,43,10,5,54,89,7,1
55,92,33,99,96,3,23,93,29,20,1
93,2,44,63,16,43,33,54,93,47,1
99,4,26,21,91,3,21,39,31,82,1
38,3,95,42,2,69,98,97,14,47,0
99,65,27,96,80,45,60,31,10,92,0
98,8,35,33,14,24,9,82,0,42,1
82,90,60,35,65,72,83,27,68,31,0
76,17,91,84,31,70,70,85,25,85,1
18,35,33,13,18,43,39,63,10,12,0
65,26,71,55,47,74,38,40,39,30,1
90,85,79,48,1,96,63,18,27,67,1
82,68,87,28,35,81,56,45,62,25,1
16,52,54,13,95,17,8,85,91,95,0
30,74,1,76,25,82,32,98,40,42,1
53,49,87,9,63,65,35,62,98,55,1
29,84,0,61,24,75,96,75,33,41,1
96,71,51,18,13,47,40,70,50,32,1
79,11,78,78,87,33,22,74,44,90,1
82,34,61,86,72,68,6,41,57,30,0
2,0,0,26,16,46,52,3,60,15,1
41,24,42,83,19,34,22,7,15,3,1
29,76,60,39,24,90,70,44,2,84,1
36,83,73,53,75,54,0,22,85,3,0
80,76,42,42,90,57,81,93,16,42,1
65,50,54,24,65,10,61,88,45,31,0
60,56,52,69,70,74,11,34,64,96,1
50,91,68,92,68,16,22,37,26,75,0
83,2,70,6,14,22,51,4,87,51,1
19,75,90,60,11,32,29,26,43,32,0
43,25,37,7,93,75,49,69,21,36,0
95,80,22,40,37,95,81,7,70,45,1
51,13,3,63,95,2,53,72,24,17,0
91,32,92,61,11,35,97,79,67,91,1
25,64,65,90,75,28,74,33,94,98,0
97,28,89,64,0,82,23,91,20,59,1
43,51,36,29,70,17,57,54,37,79,1
61,19,53,15,54,83,20,39,89,47,0
13,15,31,2,71,98,14,99,20,65,0
32,34,79,46,82,78,71,83,88,77,0
