f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
54,67,95,86,92,70,78,33,40,31,0
20,31,37,76,24,19,10,9,28,42,0
95,5,56,99,95,65,31,89,93,66,1
19,68,20,92,58,22,86,4,52,75,0
29,58,79,0,8,86,57,1,77,20,0
67,51,34,68,69,39,52,70,2,42,1
44,20,38,6,99,9,35,9,94,71,0
37,80,72,5,96,84,28,56,72,4,0
41,68,88,26,40,46,36,65,12,55,0
44,2,35,84,21,27,32,11,8,67,1
58,13,62,45,15,25,33,20,90,55,0
81,44,90,93,8,62,76,65,36,6,0
60,89,69,46,62,32,21,98,3,61,0
33,79,20,13,36,8,38,48,66,84,0
67,53,85,87,50,95,37,51,38,90,1
67,63,4,4,23,19,82,31,32,93,0
79,97,71,42,20,19,79,16,18,89,1
17,72,78,60,87,28,7,17,81,41,1
95,15,91,14,15,74,70,53,66,33,1
31,25,53,22,33,41,77,34,23,48,0
88,88,80,16,80,8,86,2,93,11,0
14,50,76,13,47,57,18,94,2,67,0
18,40,70,27,69,55,96,99,38,91,1
87,19,95,75,49,83,13,0,68,37,1
96,65,6,31,41,90,82,86,75,29,0
17,41,27,90,37,67,32,16,82,66,0
80,0,68,32,14,54,99,79,47,11,1
70,27,0,77,92,26,57,46,9,84,1
65,5,18,98,17,89,97,52,93,98,1
45,1,58,88,17,46,8,25,22,78,1
94,55,70,25,58,9,62,49,17,1,1
51,56,85,64,13,69,77,95,15,60,1
76,26,71,37,19,86,0,27,19,22,1
52,79,12,17,97,4,77,97,37,14,0
81,84,79,42,12,88,29,13,63,55,0
56,94,39,12,76,30,76,96,1,15,0
93,97,5,51,66,16,24,34,8,73,0
35,99,66,13,90,65,50,21,48,99,0
38,76,73,53,88,61,11,97,22,3,0
8,21,92,27,61,24,79,68,98,62,1
39,27,52,19,13,3,63,5,18,30,1
46,17,89,0,63,3,38,60,80,29,0
80,44,48,16,69,48,99,93,68,58,0
56,87,11,63,32,66,11,62,26,8,0
63,32,30,47,49,68,1,91,81,81,0
40,29,14,36,32,16,59,78,55,76,1
83,76,51,21,71,75,49,58,97,1,0
11,63,69,96,76,89,72,46,39,69,0
31,8,12,49,50,27,52,71,81,27,1
83,29,9,3,36,15,88,54,66,61,1
35,19,26,46,75,41,41,67,32,7,0
16,59,22,14,90,15,50,62,91,17,1
28,48,55,92,90,11,51,75,0,49,0
25,99,37,51,47,53,16,75,96,41,0
60,14,2,31,23,11,0,20,27,66,0
0,4,3,24,60,59,49,45,18,16,0
16,41,47,80,75,8,26,42,93,5,0
40,92,25,64,36,63,90,0,90,83,0
74,9,5,86,46,90,47,20,22,43,1
3,84,49,31,21,61,68,30,78,6,1
87,96,86,6,26,60,30,61,56,20,0
5,54,53,72,53,76,45,38,52,32,0
12,88,27,27,2,34,10,68,48,98,0
74,51,93,89,29,7,4,19,48,34,1
6,6,20,99,74,36,23,44,94,30,1
50,80,24,60,48,30,14,1,32,65,0
15,78,9,89,61,50,12,53,84,70,1
42,52,88,93,95,74,44,15,6,98,0
98,26,48,1,19,72,58,13,69,37,1
20,46,95,94,69,93,46,95,96,21,0
48,21,68,90,0,76,22,66,37,87,0
89,96,19,29,12,44,92,48,49,53,1
74,27,41,53,45,37,89,1,73,27,1
52,81,68,38,6,48,50,56,73,86,1
36,66,7,21,85,39,60,48,2,67,1
51,14,99,31,36,51,85,69,75,19,1
39,71,10,83,68,60,31,29,56,48,0
74,43,25,35,48,51,95,43,66,26,0
26,64,11,75,26,43,60,40,61,92,0
56,82,33,46,76,86,39,17,16,70,0
91,1,63,18,50,8,76,34,58,92,1
8,57,12,61,67,35,51,93,49,5,0
57,77,38,15,47,38,8,60,51,56,0
24,77,65,88,62,1,4,53,34,43,1
20,79,54,2,95,22,87,9,21,93,0
11,98,11,22,18,41,96,96,8,81,0
38,64,42,8,57,25,97,9,28,75,1
7,27,38,21,80,20,75,22,40,8,0
12,44,4,39,92,32,9,77,23,64,1
57,19,36,81,14,17,43,46,22,15,1
44,55,40,17,31,50,17,98,80,34,0
55,71,47,13,90,3,45,41,83,1,0
8,99,98,81,15,28,17,94,12,93,1
11,28,5,82,69,0,95,25,94,62,0
