f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
82,11,51,33,83,59,73,56,9,10,1
19,63,40,80,30,15,27,42,34,96,0
30,27,28,84,21,48,9,78,54,32,1
74,93,5,1,14,20,68,7,25,26,0
93,45,94,20,15,46,93,81,33,42,0
68,30,68,16,0,10,38,25,59,34,1
98,99,93,67,71,57,76,18,10,43,0
83,85,15,65,62,98,5,18,28,29,1
59,76,16,29,24,35,66,40,33,21,1
66,14,51,53,92,91,36,25,27,32,0
81,47,98,67,92,32,76,0,9,44,1
41,35,48,62,72,14,17,53,80,45,0
41,51,62,59,98,61,57,60,2,32,1
35,29,18,69,35,58,37,7,87,89,1
27,66,60,19,74,12,76,70,58,73,1
8,65,6,35,88,65,95,89,22,38,0
63,95,11,87,19,5,20,18,11,62,0
38,12,17,8,28,87,19,57,92,39,1
71,94,78,41,60,85,45,21,8,29,1
67,27,51,11,76,45,80,22,24,68,0
46,26,89,33,36,65,58,94,47,65,0
42,68,14,25,74,8,21,91,75,76,1
66,38,64,3,80,10,45,76,8,46,1
45,93,28,62,68,81,82,26,73,1,1
41,5,35,17,36,14,31,74,63,52,1
33,61,92,7,44,65,18,41,44,9,1
26,44,66,1,90,49,89,3,66,64,0
70,37,4,35,0,93,98,31,94,57,0
71,71,56,31,39,43,34,7,99,82,1
0,36,95,87,60,32,42,21,69,45,0
15,28,0,19,63,98,69,4,39,24,1
57,21,20,16,9,3,2,24,79,2,0
15,66,93,99,98,47,84,38,7,45,1
62,71,62,93,26,98,58,52,29,39,0
46,14,73,88,60,16,22,18,40,55,1
35,5,39,69,39,79,83,36,98,82,1
71,45,22,31,28,52,19,55,81,74,1
77,99,29,15,21,97,46,43,11,20,1
67,15,19,6,9,0,20,76,6,76,0
18,59,2,6,53,91,78,16,90,81,0
68,66,88,44,69,43,4,59,73,6,0
77,87,66,30,21,65,21,94,57,86,0
5,87,86,74,90,1,32,17,82,13,0
24,28,5,36,20,21,20,48,23,89,0
41,75,52,13,82,41,38,74,34,7,0
75,95,10,16,35,59,51,84,90,98,0
23,13,65,13,24,12,50,76,22,4,0
88,64,70,19,2,15,97,95,0,16,1
62,70,74,33,39,45,56,8,68,32,0
93,16,94,78,71,41,58,43,81,41,1
2,90,27,73,87,89,49,48,77,41,0
73,57,39,36,43,12,53,99,72,18,0
27,44,94,9,62,97,6,48,79,32,1
33,25,16,0,26,9,33,70,95,99,0
88,55,1,81,84,66,23,92,74,87,1
98,61,1,31,14,44,58,66,13,75,1
92,55,42,41,6,26,97,65,4,24,1
79,45,79,48,49,6,8,24,73,42,1
32,39,65,66,87,20,11,82,56,97,0
86,73,9,68,19,2,87,78,91,3,1
87,18,92,99,89,1,6,79,67,41,1
69,79,98,48,80,56,56,35,30,71,1
27,50,41,50,71,19,99,36,27,19,0
58,35,87,41,56,79,11,96,22,56,0
21,11,60,85,48,4,46,10,95,18,0
81,88,54,14,96,76,98,60,9,92,0
98,59,53,92,84,41,60,27,57,17,0
67,43,59,78,76,35,84,38,9,49,1
93,50,2,62,79,11,28,56,82,43,0
81,47,55,39,38,91,78,41,91,55,1
49,91,20,74,46,37,0,67,95,68,0
71,12,2,73,1,56,49,9,12,20,1
79,17,61,96,77,25,83,10,32,76,1
7,94,23,59,47,78,77,76,80,8,1
81,43,59,65,42,95,43,63,43,34,0
27,79,7,12,27,76,61,23,41,18,1
51,53,39,22,5,78,32,55,20,19,0
91,62,88,51,58,19,1,48,56,55,0
10,26,39,3,61,19,41,57,50,17,0
85,63,19,27,95,39,52,39,72,45,0
4,15,89,19,65,97,27,40,93,45,1
6,66,9,94,88,81,93,41,30,23,0
